 N  ;       identifier        ;  coord1 (ICRS,J2000/2000)   ; coord2 (ICRS,J2000/2000)  ;Mag V 
152 ;* kap Aur                ;06 15 22.68906 +29 29 53.0760;093.84453775 +29.49807668  ; 4.35 
153 ;* 37 Lib                 ;15 34 10.70209 -10 03 52.3063;233.54459205 -10.06452954  ; 4.62 
154 ;NOVA Gem 1903            ;06 44 12.05 +29 56 41.9      ;101.05021 +29.94497        ; 4.8  
155 ;* tau01 Hya              ;09 29 08.89655 -02 46 08.2649;142.28706895 -02.76896247  ; 4.60 
156 ;* eta Gem A              ;06 14 52.695 +22 30 24.56    ;093.719562 +22.506822      ; 3.32 
157 ;* chi Vir                ;12 39 14.76703 -07 59 44.0324;189.81152931 -07.99556457  ; 4.643
158 ;* bet Eri                ;05 07 50.98549 -05 05 11.2055;076.96243955 -05.08644597  ; 2.79 
159 ;* h Her                  ;16 32 36.29190 +11 29 16.9479;248.15121625 +11.48804109  ; 4.85 
160 ;* 56 Ori                 ;05 52 26.43854 +01 51 18.4958;088.11016059 +01.85513772  ; 4.763
161 ;* bet01 Mon              ;06 28 49.06971 -07 01 59.0101;097.20445713 -07.03305836  ; 4.60 
162 ;* kap Leo                ;09 24 39.25874 +26 10 56.3650;141.16357808 +26.18232361  ; 4.46 
163 ;* 35 Peg                 ;22 27 51.52245 +04 41 44.4005;336.96467687 +04.69566681  ; 4.80 
164 ;* phi Sgr                ;18 45 39.38610 -26 59 26.7944;281.41410877 -26.99077623  ; 3.161
165 ;* eps Lep                ;05 05 27.66537 -22 22 15.7239;076.36527238 -22.37103442  ; 3.18 
166 ;* psi Sco                ;16 11 59.98852 -10 03 51.2683;242.99995217 -10.06424119  ; 4.940
167 ;HD 36960                 ;05 35 02.68074 -06 00 07.3036;083.76116975 -06.00202877  ; 4.78 
168 ;* nu. For                ;02 04 29.43861 -29 17 48.5477;031.12266087 -29.29681882  ; 4.69 
169 ;* gam Equ A              ;21 10 20.501 +10 07 53.67    ;317.585421 +10.131575      ; 4.70 
170 ;* 2 Cet                  ;00 03 44.38784 -17 20 09.5719;000.93494934 -17.33599220  ; 4.543
171 ;* tau03 Eri              ;03 02 23.49939 -23 37 28.0936;045.59791413 -23.62447044  ; 4.09 
172 ;* 48 Lib                 ;15 58 11.36869 -14 16 45.6894;239.54736956 -14.27935817  ; 4.87 
173 ;* c01 Aqr                ;23 06 40.84483 -23 44 35.2344;346.67018679 -23.74312068  ; 4.47 
174 ;* tet02 Ser              ;18 56 14.63687 +04 12 07.6269;284.06098697 +04.20211858  ; 4.98 
175 ;* ome02 Sco              ;16 07 24.32818 -20 52 07.5518;241.85136741 -20.86876440  ; 4.33 
176 ;HD 20644                 ;03 20 20.36111 +29 02 54.4451;050.08483796 +29.04845698  ; 4.47 
177 ;* 54 Eri                 ;04 40 26.51204 -19 40 17.3697;070.11046685 -19.67149158  ; 4.30 
178 ;* ups Boo                ;13 49 28.64078 +15 47 52.4603;207.36933660 +15.79790563  ; 4.07 
179 ;* f Aql                  ;19 20 32.90437 -05 24 56.7440;290.13710155 -05.41576222  ; 4.995
180 ;* alf01 Cap              ;20 17 38.86987 -12 30 29.5594;304.41195781 -12.50821094  ; 4.27 
181 ;* eps Cap                ;21 37 04.83068 -19 27 57.6464;324.27012783 -19.46601288  ; 4.55 
182 ;* gam02 Leo              ;10 19 58.620 +19 50 26.70    ;154.994250 +19.840750      ; 4.225
183 ;* alf Gem B              ;07 34 36.100 +31 53 18.57    ;113.650417 +31.888492      ; 2.97 
184 ;C 0523+160               ;05 26 06.0 +16 42 00         ;081.5250 +16.7000          ; 3.0  
185 ;* kap01 Cet              ;03 19 21.69632 +03 22 12.7152;049.84040133 +03.37019865  ; 4.85 
186 ;* f Lup                  ;15 17 49.83809 -30 08 55.2165;229.45765869 -30.14867126  ; 4.33 
187 ;C 0722-321               ;07 24 27.0 -31 51 00         ;111.1125 -31.8500          ; 3.5  
188 ;* e Gem                  ;06 54 38.63478 +13 10 40.2207;103.66097826 +13.17783909  ; 4.706
189 ;* phi Tau                ;04 20 21.21580 +27 21 02.7009;065.08839919 +27.35075025  ; 4.957
190 ;* 93 Her                 ;18 00 03.41606 +16 45 03.3099;270.01423359 +16.75091942  ; 4.67 
191 ;* zet Boo A              ;14 41 08.962 +13 43 41.79    ;220.287342 +13.728275      ; 4.547
192 ;* zet Ori                ;05 40 45.52666 -01 56 33.2649;085.18969443 -01.94257359  ; 1.79 
193 ;HR 2812                  ;07 22 13.52901 -19 00 59.7646;110.55637088 -19.01660128  ; 4.957
194 ;* del PsA                ;22 55 56.90026 -32 32 22.6335;343.98708443 -32.53962041  ; 4.226
195 ;* tau Tau                ;04 42 14.70161 +22 57 24.9214;070.56125671 +22.95692260  ; 4.264
196 ;* ome Boo                ;15 02 06.50855 +25 00 29.3003;225.52711895 +25.00813898  ; 4.81 
197 ;NOVA Her 1991            ;18 46 31.56 +12 14 00.7      ;281.63150 +12.23353        ; 5.0  
198 ;* rho Peg                ;22 55 13.67197 +08 48 58.1932;343.80696653 +08.81616477  ; 4.90 
199 ;* eps Lib                ;15 24 11.89101 -10 19 20.1740;231.04954586 -10.32227055  ; 4.928
200 ;* ups04 Eri              ;04 17 53.66241 -33 47 54.0569;064.47359336 -33.79834914  ; 3.56 
201 ;* 70 Peg                 ;23 29 09.29698 +12 45 37.9918;352.28873743 +12.76055329  ; 4.56 
202 ;* 41 Ari                 ;02 49 59.03324 +27 15 37.8260;042.49597183 +27.26050723  ; 3.606
203 ;* 36 Oph                 ;17 15 20.98394 -26 36 10.1571;258.83743307 -26.60282143  ; 4.32 
204 ;HR 2244                  ;06 15 44.88569 -13 43 06.2928;093.93702370 -13.71841467  ; 4.998
205 ;* eta Leo                ;10 07 19.95186 +16 45 45.5803;151.83313275 +16.76266119  ; 3.41 
206 ;* gam Scl                ;23 18 49.44076 -32 31 55.2890;349.70600318 -32.53202471  ; 4.415
207 ;* 7 Cet                  ;00 14 38.41655 -18 55 58.3145;003.66006897 -18.93286514  ; 4.46 
208 ;* pi. Vir                ;12 00 52.39042 +06 36 51.5571;180.21829342 +06.61432142  ; 4.659
209 ;* gam CrB A              ;15 42 44.569 +26 17 44.28    ;235.685704 +26.295633      ; 4.04 
210 ;* omi Cet A              ;02 19 20.792 -02 58 39.50    ;034.836633 -02.977639      ; 3.04 
211 ;* rho Aql                ;20 14 16.61886 +15 11 51.3923;303.56924526 +15.19760896  ; 4.947
212 ;* lam Col                ;05 53 06.88101 -33 48 04.9079;088.27867089 -33.80136331  ; 4.87 
213 ;* alf Oph                ;17 34 56.06945 +12 33 36.1346;263.73362272 +12.56003739  ; 2.07 
214 ;* tau01 Eri              ;02 45 06.18710 -18 34 21.2149;041.27577960 -18.57255971  ; 4.46 
215 ;* 1 Vul                  ;19 16 13.03970 +21 23 25.5339;289.05433208 +21.39042608  ; 4.77 
216 ;* eps Sco                ;16 50 09.81081 -34 17 35.6337;252.54087839 -34.29323159  ; 2.29 
217 ;* chi Pup                ;07 57 40.10643 -30 20 04.4523;119.41711012 -30.33457007  ; 4.79 
218 ;* alf Del                ;20 39 38.28720 +15 54 43.4637;309.90953000 +15.91207326  ; 3.800
219 ;* bet Lep                ;05 28 14.72316 -20 45 33.9878;082.06134649 -20.75944105  ; 2.84 
220 ;* tau Aqr                ;22 49 35.50157 -13 35 33.4767;342.39792320 -13.59263240  ; 3.98 
221 ;* tau Oph                ;18 03 04.91992 -08 10 49.2586;270.77049968 -08.18034961  ; 4.78 
222 ;V* alf Her               ;17 14 38.879 +14 23 25.01    ;258.661996 +14.390281      ; 3.350
223 ;* iot Cnc                ;08 46 41.81988 +28 45 35.6190;131.67424952 +28.75989418  ; 4.028
224 ;* eta Vir                ;12 19 54.354 -00 40 00.46    ;184.976475 -00.666794      ; 3.90 
225 ;* nu.01 Sgr              ;18 54 10.17695 -22 44 41.4247;283.54240398 -22.74484020  ; 4.859
226 ;* F Hya                  ;08 43 40.37345 -07 14 01.4323;130.91822271 -07.23373120  ; 4.642
227 ;* f Pup                  ;07 37 22.10978 -34 58 06.7109;114.34212409 -34.96853080  ; 4.53 
228 ;* 72 Leo                 ;11 15 12.22709 +23 05 43.8373;168.80094620 +23.09551036  ; 4.63 
229 ;* mu. Her                ;17 46 27.52667 +27 43 14.4379;266.61469448 +27.72067718  ; 3.42 
